ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CodigoDiretoria;NomeDiretoria;NomeEscola;NomeMunicipio;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MÉDIO
2021;13468;35013468;20204;PINDAMONHANGABA;AFFONSO DE CARVALHO DESEMBARGADOR;SANTO ANTONIO DO PINHAL;;;2,18
2021;13481;35013481;20205;SAO JOSE DOS CAMPOS;ALCEU MAYNARD ARAUJO PROFESSOR;SAO JOSE DOS CAMPOS;;3,62;1,68
2021;13493;35013493;20205;SAO JOSE DOS CAMPOS;EDEWALDO FREITAS GAIA SANT ANA PROFESSOR;SAO JOSE DOS CAMPOS;6,48;;
2021;13500;35013500;20205;SAO JOSE DOS CAMPOS;ZILDA ALTIMIRA SOCI PROFESSORA;SAO JOSE DOS CAMPOS;3,99;;
2021;13511;35013511;20205;SAO JOSE DOS CAMPOS;EUNICE CORDEIRO DOS SANTOS RODRIGUES PROFESSORA;SAO JOSE DOS CAMPOS;4,7;;
2021;13523;35013523;20205;SAO JOSE DOS CAMPOS;ILZA IRMA MOELLER COPPIO PROFESSORA;SAO JOSE DOS CAMPOS;;;3,18
2021;13547;35013547;20205;SAO JOSE DOS CAMPOS;FELICIO SAVASTANO PROFESSOR;SAO JOSE DOS CAMPOS;5,08;;
2021;13559;35013559;20205;SAO JOSE DOS CAMPOS;JORGE BARBOSA MOREIRA PROFESSOR;SAO JOSE DOS CAMPOS;3,46;3,11;0,9
2021;13560;35013560;20205;SAO JOSE DOS CAMPOS;JOSE VIEIRA MACEDO PROFESSOR;SAO JOSE DOS CAMPOS;;;3,67
2021;13572;35013572;20205;SAO JOSE DOS CAMPOS;ANA CANDIDA DE BARROS MOLINA PROFESSORA;SAO JOSE DOS CAMPOS;;3,19;2,22
2021;13584;35013584;20205;SAO JOSE DOS CAMPOS;PEDRO MAZZA PROFESSOR;SAO JOSE DOS CAMPOS;;2,38;1,97
2021;13596;35013596;20205;SAO JOSE DOS CAMPOS;PEDRO MASCARENHAS DOUTOR;SAO JOSE DOS CAMPOS;6,41;3,21;1,57
2021;13602;35013602;20205;SAO JOSE DOS CAMPOS;EUCLIDES BUENO MIRAGAIA;SAO JOSE DOS CAMPOS;3,45;2,31;0,78
